"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"ARAÇATUBA",12,"2024-03-20","covid","Previsto",2024-03-12,1.11525,0,0.4,0.71525,2,1,1
"ARAÇATUBA",12,"2024-03-27","covid","Previsto",2024-03-19,0.84,0,0,0.84,0,1,1
"ARAÇATUBA",12,"2024-04-10","covid","Previsto",2024-03-26,0.42,0,0,0.42,0,1,1
"ARAÇATUBA",12,"2024-04-17","covid","Previsto",2024-03-28,0.44025,0,0,0.44025,0,1,1
"ARAÇATUBA",11,"2024-04-24","covid","Previsto",2024-04-19,1.19025,0.8,0,0.39025,2,0,1
"ARAÇATUBA",12,"2024-05-08","covid","Previsto",2024-04-17,0.46,0.2,0,0.26,1,1,1
"ARAÇATUBA",12,"2024-05-15","covid","Previsto",2024-04-23,0.93,0,0.8,0.13,2,0,1
"ARAÇATUBA",12,"2024-05-23","covid","Previsto",2024-04-23,0.93,0,0.8,0.13,2,0,1
"ARAÇATUBA",9,"2024-05-29","covid","Previsto",2024-05-24,0.38025,0,0.2,0.18025,1,1,1
"ARAÇATUBA",9,"2024-06-05","covid","Previsto",2024-05-23,0.44025,0,0.2,0.24025,1,1,1
"ARAÇATUBA",9,"2024-06-12","covid","Previsto",2024-05-23,0.5605,0,0.2,0.3605,1,1,1
"ARAÇATUBA",9,"2024-06-26","covid","Previsto",2024-06-18,1.0105,0.2,0,0.8105,1,1,1
"ARAÇATUBA",9,"2024-07-04","covid","Previsto",2024-06-18,1.10125,0.2,0,0.901249999999999,1,1,1
"ARAÇATUBA",9,"2024-07-23","covid","Previsto",2024-07-02,1.26125,0.2,0,1.06125,1,1,1
"ARAÇATUBA",10,"2024-08-14","covid","Previsto",2024-08-07,3.49075,1.4,0,2.09075,5,0,1
"ARAÇATUBA",11,"2024-08-21","covid","Previsto",2024-08-07,2.7735,0.6,0,2.1735,3,1,1
"ARAÇATUBA",11,"2024-08-28","covid","Previsto",2024-08-21,2.25,0,0.6,1.65,3,1,1
"ARAÇATUBA",11,"2024-09-03","covid","Previsto",2024-08-27,2.93025,0.4,0,2.53025,2,1,1
"ARAÇATUBA",11,"2024-09-11","covid","Previsto",2024-09-03,8.1305,4.6,0,3.5305,13,0,1
"ARAÇATUBA",11,"2024-09-18","covid","Previsto",2024-09-11,5.86225,2.6,0,3.26225,9,0,1
"ARAÇATUBA",11,"2024-09-25","covid","Previsto",2024-09-11,6.12075,2.8,0,3.32075,10,0,1
"ARAÇATUBA",11,"2024-10-02","covid","Previsto",2024-09-17,1.22025,0,0.4,0.82025,2,1,1
"BAIXADA SANTISTA",12,"2023-05-31","covid","Previsto",2023-05-31,0.52,0.2,0,0.32,1,1,1
"BAIXADA SANTISTA",12,"2023-06-06","covid","Previsto",2023-06-02,1.23025,0.8,0,0.43025,2,0,1
"BAIXADA SANTISTA",12,"2023-06-14","covid","Previsto",2023-05-31,0.39,0,0,0.39,0,1,1
"BAIXADA SANTISTA",12,"2023-06-20","covid","Previsto",2023-06-15,0.48,0,0.2,0.28,1,1,1
"BAIXADA SANTISTA",12,"2023-07-06","covid","Previsto",2023-06-24,0.78,0.2,0,0.58,1,1,1
"BAIXADA SANTISTA",12,"2023-07-19","covid","Previsto",2023-07-12,1.26,0.8,0,0.46,2,0,1
"BAIXADA SANTISTA",12,"2023-07-25","covid","Previsto",2023-07-12,1.22025,0.8,0,0.42025,2,0,1
"BAIXADA SANTISTA",12,"2023-08-02","covid","Previsto",2023-08-01,2.64,0,1.8,0.84,5,0,1
"BAIXADA SANTISTA",12,"2023-08-08","covid","Previsto",2023-08-01,2.76,0,1.8,0.96,5,0,1
"BAIXADA SANTISTA",12,"2023-08-16","covid","Previsto",2023-08-16,20.4605,11.3,0,9.1605,30.5,0,1
"BAIXADA SANTISTA",12,"2023-08-23","covid","Previsto",2023-08-23,4.42025,2.8,0,1.62025,8,0,1
"BAIXADA SANTISTA",12,"2023-08-30","covid","Previsto",2023-08-26,11.5805,8.2,0,3.3805,19,0,0
"BAIXADA SANTISTA",12,"2023-09-06","covid","Previsto",2023-08-29,7.24,5,0,2.24,13,0,1
"BAIXADA SANTISTA",12,"2023-09-19","covid","Previsto",2023-09-08,2.88075,0.8,0,2.08075,4,1,1
"BAIXADA SANTISTA",12,"2023-09-27","covid","Previsto",2023-09-26,10.0035,0.8,0,9.20349999999998,4,1,1
"BAIXADA SANTISTA",12,"2023-10-06","covid","Previsto",2023-09-29,8.83025,0,7.6,1.23025,16,0,1
"BAIXADA SANTISTA",12,"2023-10-11","covid","Previsto",2023-10-11,12.23025,0,11.1,1.13025,21.5,0,1
"BAIXADA SANTISTA",12,"2023-10-18","covid","Previsto",2023-10-11,8.92025,0,7.1,1.82025,17.5,0,1
"BAIXADA SANTISTA",12,"2023-10-20","covid","Previsto",2023-10-13,12.6,0,11,1.6,23,0,1
"BAIXADA SANTISTA",12,"2023-10-25","covid","Previsto",2023-10-25,4.03075,0,1,3.03075,5,1,1
"BAIXADA SANTISTA",12,"2023-11-01","covid","Previsto",2023-11-01,3.04025,0,0.8,2.24025,4,1,1
"BAIXADA SANTISTA",12,"2023-11-08","covid","Previsto",2023-11-01,3.59025,0,0,3.59025,0,1,1
"BAIXADA SANTISTA",12,"2023-11-13","covid","Previsto",2023-11-11,3.21025,0,1.8,1.41025,7,0,1
"BAIXADA SANTISTA",12,"2023-11-29","covid","Previsto",2023-11-29,1.67075,0.4,0,1.27075,2,1,1
"BAIXADA SANTISTA",12,"2023-12-06","covid","Previsto",2023-11-29,2.33,0.6,0,1.73,3,1,1
"BAIXADA SANTISTA",12,"2023-12-13","covid","Previsto",2023-12-05,0.93,0,0.2,0.73,1,1,1
"BAIXADA SANTISTA",12,"2023-12-20","covid","Previsto",2023-12-12,1.16,0,0.6,0.56,3,1,1
"BAIXADA SANTISTA",12,"2023-12-27","covid","Previsto",2023-12-14,0.78,0,0.2,0.58,1,1,1
"BAIXADA SANTISTA",12,"2024-01-03","covid","Previsto",2023-12-30,0.63025,0.2,0,0.43025,1,1,1
"BAIXADA SANTISTA",12,"2024-01-17","covid","Previsto",2024-01-10,1.06,0,0.8,0.26,2,0,1
"BAIXADA SANTISTA",12,"2024-01-31","covid","Previsto",2024-01-31,23.5665,2.6,0,20.9665,13,1,1
"BAIXADA SANTISTA",12,"2024-02-07","covid","Previsto",2024-02-07,4.30025,0,3,1.30025,9,0,1
"BAIXADA SANTISTA",12,"2024-02-14","covid","Previsto",2024-02-09,2.80025,0,1,1.80025,5,1,1
"BAIXADA SANTISTA",11,"2024-02-21","covid","Previsto",2024-02-20,3.4405,0.2,0,3.2405,1,1,1
"BAIXADA SANTISTA",11,"2024-02-28","covid","Previsto",2024-02-21,4.02,0,1.2,2.82,6,1,1
"BAIXADA SANTISTA",12,"2024-03-06","covid","Previsto",2024-02-28,3.4905,0.8,0,2.6905,4,1,1
"BAIXADA SANTISTA",12,"2024-03-13","covid","Previsto",2024-03-06,5.14025,2.2,0,2.94025,9,0,1
"BAIXADA SANTISTA",11,"2024-03-18","covid","Previsto",2024-03-16,1.53025,0,0.2,1.33025,1,1,1
"BAIXADA SANTISTA",11,"2024-03-20","covid","Previsto",2024-03-12,4.49525,2,0,2.49525,8,0,1
"BAIXADA SANTISTA",12,"2024-03-27","covid","Previsto",2024-03-20,2.98025,1,0,1.98025,5,1,1
"BAIXADA SANTISTA",12,"2024-04-10","covid","Previsto",2024-04-02,1.7,0.4,0,1.3,2,1,1
"BAIXADA SANTISTA",12,"2024-04-17","covid","Previsto",2024-04-04,2.4,1.2,0,1.2,4,0,1
"BAIXADA SANTISTA",12,"2024-04-24","covid","Previsto",2024-04-12,0.95,0,0.4,0.55,2,1,1
"BAIXADA SANTISTA",12,"2024-05-08","covid","Previsto",2024-04-12,0.96,0,0.4,0.56,2,1,1
"BAIXADA SANTISTA",11,"2024-05-15","covid","Previsto",2024-05-07,0.38,0,0.2,0.18,1,1,1
"BAIXADA SANTISTA",11,"2024-05-23","covid","Previsto",2024-05-08,0.260749999999999,0,0,0.260749999999999,0,1,1
"BAIXADA SANTISTA",12,"2024-05-29","covid","Previsto",2024-05-09,0.70025,0.2,0,0.50025,1,1,1
"BAIXADA SANTISTA",11,"2024-06-05","covid","Previsto",2024-05-23,0.63,0.2,0,0.43,1,1,1
"BAIXADA SANTISTA",11,"2024-06-12","covid","Previsto",2024-05-23,0.65,0.2,0,0.45,1,1,1
"BAIXADA SANTISTA",9,"2024-06-26","covid","Previsto",2024-06-14,4.8,3.2,0,1.6,8,0,1
"BAIXADA SANTISTA",9,"2024-07-04","covid","Previsto",2024-06-14,4.83025,3.2,0,1.63025,8,0,1
"BAIXADA SANTISTA",9,"2024-07-23","covid","Previsto",2024-07-06,0.0702499999999998,0,0,0.0702499999999998,0,1,1
"BAIXADA SANTISTA",8,"2024-08-14","covid","Previsto",2024-07-23,0.66,0,0.2,0.46,1,1,1
"BAIXADA SANTISTA",8,"2024-08-21","covid","Previsto",2024-07-23,0.880999999999999,0,0.4,0.480999999999999,2,1,1
"BAIXADA SANTISTA",10,"2024-08-28","covid","Previsto",2024-08-14,2.85025,0,2.2,0.65025,5,0,1
"BAIXADA SANTISTA",10,"2024-09-03","covid","Previsto",2024-08-13,3.56,0,3.2,0.36,6,0,1
"BAIXADA SANTISTA",10,"2024-09-11","covid","Previsto",2024-09-04,12.57525,2.2,0,10.37525,9,0,1
"BAIXADA SANTISTA",11,"2024-09-18","covid","Previsto",2024-09-06,2.0295,0,0.2,1.8295,1,1,1
"BAIXADA SANTISTA",11,"2024-09-25","covid","Previsto",2024-09-18,1.032,0,0,1.032,0,1,1
